公司名称,股票代码,报告类型,净利润增长率,业绩亮点
南亚新材,688519,2025年度业绩快报,+378.65%,覆铜板行业需求复苏，优化营销策略，高毛利产品销售占比提升
埃科光电,688610,2025年度业绩快报,+307.63%,AI算力需求爆发带动PCB行业增长，新型显示行业升级，新能源行业扩张
神工股份,688233,2025年度业绩快报,+146.54%,全球半导体市场回暖，产能利用率提升，规模效应显现
佰维存储,688525,2025年度业绩预告,+427.19%~520.22%,存储价格企稳回升，AI端侧领域高速增长，先进封装项目进展顺利
胜宏科技,300476,2025年度业绩预告,+260.35%~295.00%,AI算力、数据中心高端产品大规模量产，产品结构升级
通富微电,002156,2025年度业绩预告,+62.34%~99.24%,全球半导体结构性增长，中高端产品营收增加，产能利用率提升
生益科技,600183,2025年度业绩预告,+87%~98%,覆铜板销量同比上升，产品结构优化，毛利率提升
紫金矿业,601899,2025年度业绩预告,+59%~62%,主要矿产品产量增加，矿产金、铜、银销售价格上升
赤峰黄金,600988,2025年度业绩预告,+70%~81%,黄金价格上涨，矿产金销量增加
福田汽车,600166,2025年度业绩预告,+1551%,总销量增长5.85%，新能源销量增长87.21%，海外市场增长7.27%
北摩高科,002985,2025年度业绩预告,+1076%~1262%,业务稳步增长，降本增效，信用减值损失减少
中科三环,000970,2025年度业绩预告,+566%~899%,技术创新深化，成本费用管控，资产减值损失大幅减少
海兰信,300065,2025年度业绩预告,+387%~631%,智能航海领域技术突破，海底数据中心先发优势，海洋观探测中标
中际旭创,300308,2025年度业绩预告,+231%~249%,AI算力投资增长，高速率产品需求增加
TCL科技,000100,2025年度业绩预告,+169%~191%,电视和商业显示大尺寸产品竞争优势，中小尺寸规模快速增长
天赐材料,002709,2025年度业绩预告,+127%~231%,新能源车及储能市场需求增长，电解液销量大幅增长
传化智联,002010,2025年度业绩预告,+256%~362%,化学业务优化营销，物流业务聚焦优势业务，股权转让收益
