code,name,current_price,prev_low_price,price_drop,current_macd,prev_low_macd,macd_improve,strength,板块,周期,weeks_between
300122,智飞生物,16.9,18.84,-10.3,1.5813,-0.5094,410.43,410.43,沪深300,月线,
2304,洋河股份,54.07,63.38,-14.69,0.7098,-0.4232,267.71,267.71,沪深300,月线,
603658,安图生物,36.18,37.25,-2.87,0.2722,-0.9996,127.23,127.23,科技100,月线,
603658,安图生物,36.18,37.25,-2.87,0.2722,-0.9996,127.23,127.23,中证500,月线,
600720,中交设计,7.23,7.5,-3.6,-0.0461,-0.2715,83.03,83.03,中证500,月线,
300558,贝达药业,45.86,48.6,-5.64,-0.8405,-4.8623,82.71,82.71,科技100,周线,12.0
600085,同仁堂,30.6,34.17,-10.45,-0.9101,-4.6742,80.53,80.53,沪深300,月线,
596,古井贡酒,129.11,132.15,-2.3,-2.5912,-12.9628,80.01,80.01,沪深300,月线,
600332,白云山,25.11,25.63,-2.03,-0.1895,-0.6713,71.77,71.77,中证500,月线,
688036,传音控股,58.63,64.86,-9.61,-1.6824,-4.1703,59.66,59.66,科技100,周线,13.0
603605,珀莱雅,72.9,80.72,-9.69,-2.2001,-5.0882,56.76,56.76,中证500,月线,
2,万科A,4.97,6.42,-22.59,0.1648,0.3336,-50.6,50.6,沪深300,月线,
688363,华熙生物,47.25,48.24,-2.05,3.3333,2.3451,42.14,42.14,中证500,月线,
625,长安汽车,11.04,11.75,-6.04,-0.415,-0.705,41.13,41.13,沪深300,月线,
603369,今世缘,32.39,37.96,-14.67,-2.3028,-3.8419,40.06,40.06,沪深300,月线,
600027,华电国际,4.85,4.95,-2.02,-0.1956,-0.3182,38.54,38.54,沪深300,月线,
600161,天坛生物,16.3,18.84,-13.48,-0.8933,-1.2214,26.87,26.87,沪深300,月线,
300760,迈瑞医疗,185.77,215.03,-13.61,-7.7511,-8.114,4.47,4.47,沪深300,月线,
2252,上海莱士,6.24,6.66,-6.31,-0.1689,-0.1635,-3.31,3.31,沪深300,月线,
