code,name,current_price,prev_low_price,price_drop,current_macd,prev_low_macd,macd_improve,strength
300122,智飞生物,16.9,18.84,-10.3,1.5813,-0.5094,410.43,410.43
002304,洋河股份,54.07,63.38,-14.69,0.7098,-0.4232,267.71,267.71
600085,同仁堂,30.6,34.17,-10.45,-0.9101,-4.6742,80.53,80.53
000596,古井贡酒,129.11,132.15,-2.3,-2.5912,-12.9628,80.01,80.01
000002,万科A,4.97,6.42,-22.59,0.1648,0.3336,-50.6,50.6
000625,长安汽车,11.04,11.75,-6.04,-0.415,-0.705,41.13,41.13
603369,今世缘,32.39,37.96,-14.67,-2.3028,-3.8419,40.06,40.06
600027,华电国际,4.85,4.95,-2.02,-0.1956,-0.3182,38.54,38.54
600161,天坛生物,16.3,18.84,-13.48,-0.8933,-1.2214,26.87,26.87
300760,迈瑞医疗,185.77,215.03,-13.61,-7.7511,-8.114,4.47,4.47
002252,上海莱士,6.24,6.66,-6.31,-0.1689,-0.1635,-3.31,3.31
